block,item,claim,result,detail
companion_lie,traceless companion algebra,sl3,SU(3),dimension=8; status=structural
companion_lie,selected compact subalgebra,so3 ~= su2/center,SU(2),dimension=3; status=structural
companion_lie,center,u1,U(1),dimension=1; status=structural
companion_lie,package type,sl3 + selected so3 + u1,SU(3) x SU(2) x U(1),dimension=12; status=gauge-isomorphic compact Lie group type
signed_symplectic,C_hat,A^T Omega A,symplectic,sector-preserving continuation lift
signed_symplectic,J_unsigned,A^T Omega A,anti-symplectic,literal q/p swap is anti-symplectic
signed_symplectic,J_signed,A^T Omega A,symplectic,signed sector exchange is symplectic
signed_symplectic,C_hat^3,equals I,True,exact
signed_symplectic,J_signed^2,equals -I,True,projective involution
signed_symplectic,J_signed C_hat J_signed^{-1},equals C_hat^{-1},True,projective D3
